MIEMBRO,DESCRIPCION,LONGITUD
"ACMST","Archivo Maestro de Cuentas de Detalle",37
"APCLS","Archivo Maestro de Productos",28
"APPRV","Cobranzas pendientes de Aprobacion",34
"AUDIT","Detalle diario de transacciones de caja",39
"BAHIS","Historico de Cuentas por Pagar",30
"BAINP","Transacciones Contables Diarias CXP",35
"BAMOR","Amortizaciones de Cuentas por Pagar",35
"BAPRC","Maestro de Cuentas por Pagar",28
"BAVEN","Maestro de Proveedores",22
"BUMST","Maestro de Presupuestos",23
"CCDSC","Maestros de Centros de Costos",29
"CDRTE","Tabla de Tasas de Depositos",27
"CHMST","Maestro de Chequeras",20
"CHPER","Personalizacion de Chequeras",28
"CHSTS","Maestro de cambio de estatus a cuentas detalle",46
"CIFXF","Relacion de operaciones con clientes",36
"CLSMS","Maestro de Clases de Amortizaciones Activos",43
"CMRIN","Detalle de Camara Entrante",26
"CNOFC","Archivo de Referencias del Sistema",34
"CNOFT","Archivo Maestro de Tablas de Datos Comunes para ge",50
"CNTRLBAF","Archivo de Control CXP Seccion Comisiones",41
"CNTRLBAP","Archivo de Control CXP Otros Parametros",39
"CNTRLBRN","Archivo de Sucursales",21
"CNTRLCNT","Parametros Generales del Sistema",32
"CNTRLDEV","Definicion de las Causales Devolucion Cheques",45
"CNTRLDLS","Tabla de Tasas para control de Prestamos",40
"CNTRLFIX","Archivo de Control de Activos Fijos",35
"CNTRLLCP","Archivo de Control de Cartas de Credito",39
"CNTRLMSG","Mensajes a ser impresos en estados de cuenta",44
"CNTRLNUM","Control de Numeracion Automatica de Operaciones",47
"CNTRLPRF","Archivo de Control de Pagos y Recibos",37
"CNTRLRCO","Tabla de Cargos por Servicios Tarifas Cobranzas",47
"CNTRLRLC","Tabla de Cargos por Servicios Tarifas Cartas",44
"CNTRLRTE","Tabla de Tasas y Cargos por Servicio Cuentas",44
"CNTRLTAX","Definiciones para el manejo de cobro de impuestos",49
"CUMAD","Archivo de Direcciones de Correo y Beneficiarios",48
"CUMPR","Archivo Maestro de Palabras Reservadas Busqueda",47
"CUMSD","Archivo Maestro de Clientes busqueda String",43
"CUMST","Archivo de Maestro de Clientes",30
"DCMST","Maestro de Cobranzas Documentarias",34
"DDCPN","Transacciones pendientes de Cobro",33
"DEALS","Maestro de Prestamos Certificados Giros Valores",47
"DEVOL","Detalle de Cheques devueltos",28
"DIMST","Maestro de Inventario de Documentos",35
"DITBL","Tablas de Tipos de Documentos",29
"DLCLP","Calificacion y Prevision de Cartera",35
"DLDRF","Detalle de Giros y Valores al Cobro",35
"DLITP","Maestro de Deducciones de Prestamos",35
"DLPMT","Plan de Pagos",13
"DLSDE","Detalle de Deducciones del Plan de Pagos",40
"DPDTL","Detalle Declaracion Patrimonial Personas Naturales",50
"DPGLN","Plan de Cuentas de nuestros Clientes",36
"DPMST","Cabecera Declaracion Patrimonial Personas Naturale",50
"FIWRT","Transacciones Historicas de Pagos y Recibos",43
"FIXMS","Maestro de Activos Fijos",24
"GLBLN","Balances Generales",18
"GLBSE","Balances Generales Consolidado",30
"GLFIN","Estados Financieros por niveles",31
"GLMST","Maestro de Cuentas Contables",28
"HEAD","Archivo titulos de reportes",27
"HLHIS","Archivo historico de Cambios en Retenciones",43
"HOLYD","Archivo de Feriados",19
"HSNOT","Historico de Datos impresos en Notificaciones",45
"IBSDD","Diccionario de Datos del IBS",28
"IBTBL","Archivo de Referencias Cruzadas Intersucursales",47
"IFDTL","Detalle Declaracion Patrimonial Personas Juridicas",50
"IFMST","Cabecera Declaracion Patrimonial Personas Juridica",50
"INPT2","Entradas Contables Automaticas fin de dia",41
"INPUT","Archivo de Asientos Contables Aprobados",39
"LCADM","Enmiendas a Cartas de Credito",29
"LCCOV","Negociaciones de Cartas de Credito",34
"LCDIN","Documentos Recibidos en Cartas de Credito",41
"LCDOC","Documentos de Cartas de Credito",31
"LCFEE","Control de Cobro de Comisiones",30
"LCFIN","Indice de Formatos de Cartas de Credito",39
"LCFMT","Formatos de Cartas de Credito",29
"LCMST","Maestro de Cartas de Credito",28
"LCSTA","Estadistica de Aperturas Enmiendas Pagos",40
"LIMST","Cabecera Declaracion Legal Personas Juridicas",45
"LNECR","Maestro de Lineas de Credito",28
"LOCMS","Maestro de Localizaciones de Activos Fijos",42
"MICRF","Archivo de reportes salvados en Microficha",42
"MLNCT","Archivo de patrones y formatos de Notificaciones a",50
"MLNOT","Archivo que contiene los datos a imprimir en la no",50
"MSSGS","Archivo mensajes de Errores",27
"NXINP","Transacciones Contables del proximo dia",39
"OFMST","Maestro de Cheques Certificados y Cheques Gerencia",50
"OVDRF","Archivo diario de Sobregiros",28
"PBTRN","Transacciones de Libretas de Ahorro",35
"PLGRT","Garantias asociadas a las propuestas credito",44
"PLPCR","Propuestas de Credito",21
"PLPRD","Detalle de Productos asociados propuesta",40
"POFED","Ordenes de Pago",15
"POSWF","Ordenes de Pago via Swift",25
"POTLX","Ordenes de Pago via Telex",25
"PRENA","Archivo de Descripciones de Programas Ingles",44
"PRENS","Archivo de Descripciones de Programas Espanol",45
"RATES","Archivos de Tasas de Cambio",27
"RCLNB","Transacciones de Cuentas Reconciliables",39
"RCOLL","Relaciones entre Garantias",26
"ROCOL","Maestro de Garantias",20
"RTRNS","Historia de Tasas de Cambio",27
"SPINS","Archivo de Instrucciones especiales",35
"STPMT","Ordenes de No Pago de Cheques",29
"SWITF","Historico de Pagos y Recibidos via Swift",40
"TDRCR","Maestro de Transacciones de Cajero",34
"TLMST","Maestro de Cajeros",18
"TRANS","Archivo historico de transacciones",34
"TRDSC","Descripciones Adicionales a las Transacciones",45
"TTRAN","Archivo Maestro de Transacciones del dia",40
"UNCOL","Maestro de Retenciones",22
"USERS","Archivo de Autorizaciones por menus",35
"UT500","Agenda Personalizada",20
"UT510","Mensajes de Usuarios",20
